ID,Client Name,Client Status,Product Status,Location,Budget,urls,
45501," MaidPro Garden City, MI",LIVE,LIVE,"Garden City, MI",$300.00 ,maidprogardencitymi.com,
5289," MaidPro - Collegeville, PA",LIVE,LIVE,"Collegeville, PA",$600.00 ,maidprocollegeville.com,
121113, MaidPro McMurray PA,LIVE,LIVE,"McMurray, PA",$300.00 ,maidpromcmurray.com,
39992, MaidPro of Lufkin / Nacogdoches,LIVE,LIVE,"Lufkin, TX",$200.00 ,maidproluf-nac.com,
5318," MaidPro - Chesapeake, VA",LIVE,LIVE,"Chesapeake, VA",$800.00 ,maidprochesapeake.com,
107991, MaidPro - San Ramon,LIVE,LIVE,"Dublin, CA",$400.00 ,maidprosanramon.com,
16932, MaidPro - San Francisco,LIVE,LIVE,"San Francisco, CA",$800.00 ,maidprosanfran.com,
5196," MaidPro - Tampa, FL",LIVE,LIVE,"Tampa, FL",$750.00 ,maidprotampa.com,
5193," MaidPro - Capitol Hill, D.C.",LIVE,LIVE,"Washington, DC","$1,200.00 ",maidprocapitolhill.com,
5261, MaidPro - Morrisville NC,LIVE,LIVE,"Morrisville, NC",$400.00 ,maidprocary.com,
5225," MaidPro - Evanston, IL",LIVE,LIVE,"Evanston, IL",$500.00 ,maidproevanston.com,
5303," MaidPro - San Antonio, TX",LIVE,LIVE,"Schertz, TX",$600.00 ,maidprosanantonio.com,
5268," MaidPro - Cedar Grove, NJ",LIVE,LIVE,"Cedar Grove, NJ",$500.00 ,maidprocedargrove.com,
5254," MaidPro - Gaylord, MI",LIVE,LIVE,"Gaylord, MI",$300.00 ,maidprogaylord.com,
56491, MaidPro - Union County NJ,LIVE,LIVE,"Cranford, NJ",$500.00 ,maidprounioncounty.com,
5181, MaidPro - South Orange County,LIVE,LIVE,"Laguna Hills, CA",$600.00 ,maidproorangecounty.com,
5313," MaidPro - Woodbridge, VA",LIVE,LIVE,"Woodbridge, VA",$400.00 ,maidprowoodbridge.com,
5257, MaidPro - Maple Grove,LIVE,LIVE,"Maple Grove, MN",$400.00 ,maidpromaplegrove.com,
5292," MaidPro - Bethlehem, PA",LIVE,LIVE,"Bethlehem, PA",$400.00 ,maidprobethlehem.com,
14315," MaidPro - Raleigh, NC",LIVE,LIVE,"Raleigh, NC",$500.00 ,maidproraleigh.com,
96734, MaidPro Topeka - Lawrence,LIVE,LIVE,"Topeka, KS",$700.00 ,maidprotopeka.com,
5241, MaidPro - Kingston MA,LIVE,LIVE,"Kingston, MA",$400.00 ,maidprokingston.com,
12891," MaidPro - Birmingham, AL",LIVE,LIVE,"Chelsea, AL",$300.00 ,maidprobirmingham.com,
103811," MaidPro- Downingtown, PA",LIVE,LIVE,"Downingtown, PA",$600.00 ,maidprodowningtown.com,
5232," MaidPro - Florence, KY",LIVE,LIVE,"Florence, KY",$450.00 ,maidpronky.com,
45071, MaidPro NW San Antonio,LIVE,LIVE,"Boerne, TX",$400.00 ,maidpronwsanantonio.com,
49956," MaidPro - Melbourne, FL",LIVE,LIVE,", AB",$300.00 ,maidpromelbourne.com,
5316," MaidPro - Ashburn, VA",LIVE,LIVE,"Leesburg, VA",$250.00 ,maidproashburn.com,
110482," MaidPro - Ellicott City, MD",LIVE,LIVE,"Baltimore, MD",$300.00 ,maidproellicottcity.com,
83625, MaidPro of Northern Alabama,LIVE,LIVE,"Decatur, AL",$300.00 ,maidpronorthalabama.com,
5230, MaidPro of Northwest Indiana,LIVE,LIVE,"Merrillville, IN",$300.00 ,maidprocrownpoint.com,
10461, MaidPro Mount Pleasant,LIVE,OFF,"Charleston, SC","$1,300.00 ",maidprocharlestonsc.com,
161665, MaidPro Manhattan Beach CA,PROVISIONING,PROVISIONING,"Manhattan Beach, CA",$350.00 ,maidproofmanhattanbeach.com,
